 (88.074219+0.000000j), (-63.931336+0.219885j), (-40.936959-8.747681j), (47.932932-0.398922j), (-1.504166-11.071092j), (-7.410393+4.893614j), (-40.936959+8.747681j), (15.364901-4.554502j), (-11.294292+22.306659j), (8.473369+0.473195j), (-26.785043-11.457479j), (47.932932+0.398922j), (15.941640-4.411798j), (-63.931336-0.219885j), (3.081145+5.967349j), (15.364901+4.554502j)
 (104.703125+0.000000j), (-65.650996-10.689019j), (-22.254638-5.362938j), (-19.449690+6.562227j), (-32.922549-19.050491j), (5.628491+22.777023j), (-22.254638+5.362938j), (43.016718-5.318015j), (-11.142283-8.737918j), (34.169127+15.462731j), (29.148657+10.014012j), (-19.449690-6.562227j), (-3.795691-15.771919j), (-65.650996+10.689019j), (-14.326181-1.084974j), (43.016718+5.318015j)
 (67.335938+0.000000j), (-52.268919+5.654107j), (-26.359581-1.082192j), (54.148521-2.668677j), (-14.429452+2.417222j), (10.519220-0.965233j), (-26.359581+1.082192j), (-3.398329-0.791209j), (25.189265+4.552769j), (-0.030514-2.806120j), (-58.555692-8.312671j), (54.148521+2.668677j), (19.459181+6.493326j), (-52.268919-5.654107j), (15.119648+0.788553j), (-3.398329+0.791209j)
 (102.390625+0.000000j), (-73.643383-3.323105j), (-22.561853+4.473424j), (39.955744-12.368369j), (-36.961183-5.407564j), (13.226841+12.439712j), (-22.561853-4.473424j), (3.910242-20.208365j), (0.779186+12.287193j), (27.105293-12.837216j), (-24.830380-9.580771j), (39.955744+12.368369j), (23.595775+11.775414j), (-73.643383+3.323105j), (-8.004585-27.829221j), (3.910242+20.208365j)
 (114.355469+0.000000j), (-70.216932-1.145821j), (-40.761150-5.642242j), (46.429993-1.213643j), (-41.147851+0.179727j), (-3.027072-19.839845j), (-40.761150+5.642242j), (17.076333+22.750423j), (-26.619984-1.691318j), (33.690167+19.669370j), (0.869022+0.895941j), (46.429993+1.213643j), (20.013708-20.128949j), (-70.216932+1.145821j), (-23.034589+20.716378j), (17.076333-22.750423j)
 (70.503906+0.000000j), (-59.825507-2.598800j), (-27.667970+0.225956j), (50.339213+4.087046j), (-14.665432+2.733856j), (13.398108-1.601728j), (-27.667970-0.225956j), (2.324338+3.145057j), (12.214334-3.424151j), (4.768277-0.542591j), (-58.636258+6.493473j), (50.339213-4.087046j), (34.843786-3.269756j), (-59.825507+2.598800j), (12.367384+3.579035j), (2.324338-3.145057j)
 (95.636719+0.000000j), (-63.657334-2.534666j), (-50.438758+9.245549j), (17.371171-10.511464j), (6.180505+20.569377j), (4.198100-6.206834j), (-50.438758-9.245549j), (37.016984-0.084286j), (-1.393117+11.528926j), (1.327338-23.367499j), (18.074832+6.897809j), (17.371171+10.511464j), (9.392182-23.980898j), (-63.657334+2.534666j), (-0.882969+8.498276j), (37.016984+0.084286j)
 (57.097656+0.000000j), (-54.730573+1.387069j), (-23.330575-2.036284j), (30.974451+2.901107j), (-10.370730+2.865334j), (10.978150-3.908406j), (-23.330575+2.036284j), (14.636729-0.327797j), (-4.595886-1.298781j), (8.151907-0.942376j), (-36.131075+2.733534j), (30.974451-2.901107j), (48.085547+2.306186j), (-54.730573-1.387069j), (-6.395785+1.737924j), (14.636729+0.327797j)
 (101.484375+0.000000j), (-35.407561-4.020454j), (-76.018325+3.739434j), (19.081413+1.347763j), (19.305807+0.802506j), (11.609074-2.543014j), (-76.018325-3.739434j), (20.588811+5.793489j), (-30.088594+2.036673j), (14.415389+2.711432j), (30.535640-3.590620j), (19.081413-1.347763j), (-27.949204+3.670136j), (-35.407561+4.020454j), (27.312619-3.350813j), (20.588811-5.793489j)
 (66.792969+0.000000j), (-55.087626-0.304370j), (-26.207454-3.144740j), (50.608644+5.661930j), (-13.780598+2.287002j), (11.196134-0.626354j), (-26.207454+3.144740j), (0.423281-3.601791j), (18.509255-0.308579j), (2.278659-3.195268j), (-57.856080+8.398758j), (50.608644-5.661930j), (28.362043+2.680599j), (-55.087626+0.304370j), (12.264822-4.599180j), (0.423281+3.601791j)
 (57.914062+0.000000j), (-41.801187+1.563308j), (-22.134016-3.341942j), (38.186966-2.236219j), (-22.133315-6.098685j), (7.305153-2.957199j), (-22.134016+3.341942j), (4.268627+3.627134j), (1.940876-1.776581j), (9.411493+10.745473j), (-26.427813-1.938797j), (38.186966+2.236219j), (23.971380-6.987230j), (-41.801187-1.563308j), (-10.033940+7.407821j), (4.268627-3.627134j)
 (108.636719+0.000000j), (-64.877391+0.220408j), (-32.662328-0.024226j), (44.817914-7.010599j), (-38.803017-19.318984j), (0.853872+4.511308j), (-32.662328+0.024226j), (8.231247+17.508276j), (-2.862097-11.262432j), (21.593780+33.279455j), (2.036958-6.958301j), (44.817914+7.010599j), (11.784484-14.271728j), (-64.877391-0.220408j), (-20.397221+12.317890j), (8.231247-17.508276j)
 (27.203125+0.000000j), (-26.703031-3.005977j), (-8.248579-0.418746j), (10.054624+1.827358j), (-8.487159+0.980336j), (8.462800+0.061892j), (-8.248579+0.418746j), (6.188056+0.537883j), (-7.232012+2.555454j), (8.057006-1.892949j), (-11.417648+3.581782j), (10.054624-1.827358j), (25.252660-5.752419j), (-26.703031+3.005977j), (-4.080074+1.005050j), (6.188056-0.537883j)
 (154.339844+0.000000j), (-101.961153+2.303039j), (-69.389054-14.156721j), (73.355250-17.355061j), (-21.469158-45.328808j), (7.207312+22.222590j), (-69.389054+14.156721j), (18.554978-10.662924j), (-20.982750+40.773413j), (23.900406+15.428912j), (-28.789433-42.282837j), (73.355250+17.355061j), (12.434644-5.159090j), (-101.961153-2.303039j), (15.248368+6.067236j), (18.554978+10.662924j)
 (79.500000+0.000000j), (-61.169799-6.672075j), (-15.328197-15.976204j), (16.134581+7.530938j), (-35.733871-20.840417j), (20.376185+2.130774j), (-15.328197+15.976204j), (5.649601-0.432980j), (-24.315803-5.987412j), (31.481046+23.727896j), (-0.325875-5.617650j), (16.134581-7.530938j), (28.993267-20.252031j), (-61.169799+6.672075j), (-5.227008+20.042575j), (5.649601+0.432980j)
 (58.285156+0.000000j), (-44.428156+0.583721j), (-30.515002-5.454014j), (21.190193-0.369280j), (0.269803-14.901568j), (-7.669096+3.427893j), (-30.515002+5.454014j), (24.410191+5.644185j), (-2.201984+0.158809j), (5.284929+12.518653j), (-7.325061-21.376266j), (21.190193+0.369280j), (16.351321+8.271326j), (-44.428156-0.583721j), (-6.714809+16.848082j), (24.410191-5.644185j)
 (77.808594+0.000000j), (-53.917871-6.347212j), (-16.815954-0.643227j), (11.803957-4.205180j), (-26.674050-3.920659j), (23.560482+18.451976j), (-16.815954+0.643227j), (4.264800-13.444385j), (-4.406503-2.688071j), (17.580829-7.250633j), (1.682840+6.012480j), (11.803957+4.205180j), (11.959180-10.370535j), (-53.917871+6.347212j), (8.189398-14.451060j), (4.264800+13.444385j)
 (88.296875+0.000000j), (-52.963351+10.502167j), (-18.235507+0.149835j), (-7.000227-19.717504j), (-26.747457+0.668373j), (3.912821+7.427652j), (-18.235507-0.149835j), (28.780344-16.892588j), (16.018970+4.302863j), (14.971911-8.968947j), (0.668541-19.637977j), (-7.000227+19.717504j), (0.243368+20.212249j), (-52.963351-10.502167j), (-0.558972-23.178684j), (28.780344+16.892588j)
 (72.753906+0.000000j), (-54.228455+2.451893j), (-34.443962-7.357340j), (13.408882-0.704847j), (-2.750534-19.262909j), (-7.768493+9.609156j), (-34.443962+7.357340j), (38.642481+4.519742j), (5.248100-6.921740j), (4.944997+13.426953j), (-0.126288-21.991475j), (13.408882+0.704847j), (19.126359+20.957861j), (-54.228455-2.451893j), (-19.180099+12.950812j), (38.642481-4.519742j)
 (42.824219+0.000000j), (-31.487689-2.594061j), (-16.161827+1.035088j), (36.600470+0.218245j), (-7.741836-1.397828j), (3.472630+0.580324j), (-16.161827-1.035088j), (-3.745664-1.485916j), (21.901515-0.186806j), (-1.951835-0.066294j), (-39.236336+3.641241j), (36.600470-0.218245j), (8.089668-0.578533j), (-31.487689+2.594061j), (8.563100-3.231397j), (-3.745664+1.485916j)
 (122.882812+0.000000j), (-77.703667-5.604555j), (-52.842909-11.496944j), (62.468198-11.104926j), (-7.475386-41.986710j), (6.347013+12.301380j), (-52.842909+11.496944j), (6.829849-11.721148j), (-26.285112+28.650240j), (11.133513+26.813142j), (-22.781391-23.237387j), (62.468198+11.104926j), (5.352494-13.866176j), (-77.703667+5.604555j), (12.083155-2.572006j), (6.829849+11.721148j)
 (79.363281+0.000000j), (-60.946012+1.917567j), (-37.271363-1.482497j), (50.115906+4.408294j), (-8.110378+0.141268j), (4.194954-5.095756j), (-37.271363+1.482497j), (18.689452+16.017282j), (11.007850-15.190687j), (1.753443+12.784805j), (-35.068220-4.921049j), (50.115906-4.408294j), (25.762349-8.557161j), (-60.946012-1.917567j), (-12.574954+26.340835j), (18.689452-16.017282j)
 (57.640625+0.000000j), (-46.086273+4.533101j), (-17.657654+8.145770j), (24.654173-6.767366j), (-9.436391+22.225998j), (5.127568-18.074835j), (-17.657654-8.145770j), (4.279323+0.981702j), (8.138119+11.219050j), (3.314301-18.648771j), (-23.076874-1.382640j), (24.654173+6.767366j), (20.152859+7.561170j), (-46.086273-4.533101j), (8.827097-8.509555j), (4.279323-0.981702j)
 (91.347656+0.000000j), (-72.291029-5.628556j), (-39.372136+2.730182j), (35.829405+11.196720j), (-4.717598+18.711603j), (1.596813-9.404566j), (-39.372136-2.730182j), (22.591550+8.709915j), (-22.254631-5.635717j), (12.089950-12.021539j), (-12.799609+23.236338j), (35.829405-11.196720j), (29.319774-7.607960j), (-72.291029+5.628556j), (-0.445550+5.393443j), (22.591550-8.709915j)
 (80.542969+0.000000j), (-57.651474+0.472820j), (-23.161391-6.456298j), (44.961371-15.324017j), (-22.035735-18.867439j), (15.324445+11.654229j), (-23.161391+6.456298j), (-2.388522-19.079058j), (3.206583+30.865043j), (13.110225+0.461684j), (-41.147598-24.086109j), (44.961371+15.324017j), (12.857672+0.040007j), (-57.651474-0.472820j), (9.268660-13.360683j), (-2.388522+19.079058j)
 (97.246094+0.000000j), (-68.189167-1.842306j), (-41.005033-21.080721j), (20.403067-2.213234j), (-17.009927-39.282532j), (-0.305477+33.541806j), (-41.005033+21.080721j), (30.934372-12.033328j), (-16.632681+10.960750j), (24.018152+16.675313j), (-0.338505-34.182175j), (20.403067+2.213234j), (19.726833+0.442149j), (-68.189167+1.842306j), (0.116233+9.113190j), (30.934372+12.033328j)
 (57.621094+0.000000j), (-40.331222+3.739064j), (-32.284808-1.794565j), (7.554965+3.173306j), (4.595625+6.311272j), (-7.162883-10.452908j), (-32.284808+1.794565j), (33.240715-3.568169j), (-14.049689+5.866354j), (5.804569-3.269764j), (21.083033+6.307598j), (7.554965-3.173306j), (4.146784+2.638673j), (-40.331222-3.739064j), (-13.490713-6.991297j), (33.240715+3.568169j)
 (67.023438+0.000000j), (-41.963763-1.193278j), (-18.429951-0.760263j), (2.185468-1.584886j), (-22.183182+1.673780j), (23.744438+2.011186j), (-18.429951+0.760263j), (5.415879-2.825953j), (-12.077318+2.389537j), (20.214102-4.399895j), (20.606430-1.362860j), (2.185468+1.584886j), (-5.643387-2.914811j), (-41.963763+1.193278j), (21.444071-1.388554j), (5.415879+2.825953j)
 (77.191406+0.000000j), (-56.962116-0.474826j), (-30.119792-16.624034j), (17.105263+1.652423j), (-17.261136-30.250393j), (5.647022+16.690719j), (-30.119792+16.624034j), (18.712708-6.880517j), (-17.627428+11.487932j), (26.637875+14.257357j), (-5.835130-30.226404j), (17.105263-1.652423j), (22.759763+11.516572j), (-56.962116+0.474826j), (7.122941+0.449076j), (18.712708+6.880517j)
 (70.316406+0.000000j), (-35.211948+10.355727j), (-31.035907-13.037830j), (1.225659-17.153010j), (-10.092667-36.344051j), (-1.510444+17.855516j), (-31.035907+13.037830j), (17.084499-0.417666j), (-6.907462-1.722768j), (12.237082+5.486531j), (11.165396-33.716172j), (1.225659+17.153010j), (6.104632+28.032496j), (-35.211948-10.355727j), (11.698105-1.714333j), (17.084499+0.417666j)
 (60.191406+0.000000j), (-38.467680+4.989842j), (-30.274596-0.641507j), (11.082910+6.476872j), (1.078378-3.842654j), (6.347977-6.775395j), (-30.274596+0.641507j), (20.952811+5.495077j), (-8.245343+0.855184j), (3.357876+9.464495j), (14.296929-1.017629j), (11.082910-6.476872j), (-1.706839+18.660026j), (-38.467680-4.989842j), (-0.153861-3.165069j), (20.952811-5.495077j)
 (108.207031+0.000000j), (-70.559293-0.198365j), (-28.242123-4.606928j), (61.090418+5.913638j), (-47.283771+0.332636j), (12.616289-7.506706j), (-28.242123+4.606928j), (-7.691397+17.975993j), (-5.027443-18.430525j), (32.560175+20.812771j), (-32.499172-0.998559j), (61.090418-5.913638j), (18.807117-15.724681j), (-70.559293+0.198365j), (-4.561639+21.411344j), (-7.691397-17.975993j)
 (100.394531+0.000000j), (-62.918301-8.439250j), (-50.034395+13.463653j), (6.629424-5.869635j), (1.048628+33.893630j), (0.574952-19.102929j), (-50.034395-13.463653j), (37.819311+9.332579j), (-23.005335+23.093866j), (19.165473-31.078787j), (35.211957+3.449140j), (6.629424+5.869635j), (0.727163-15.394422j), (-62.918301+8.439250j), (5.702804+2.693845j), (37.819311-9.332579j)
 (99.687500+0.000000j), (-70.014891-3.817502j), (-60.422540-3.779584j), (58.591885+9.584729j), (11.813103+9.220077j), (-9.367090-8.205169j), (-60.422540+3.779584j), (27.871439+4.540828j), (-0.578806-4.993966j), (-3.529969+1.519952j), (-29.795445+4.056864j), (58.591885-9.584729j), (11.743241-5.768971j), (-70.014891+3.817502j), (7.933198+7.361625j), (27.871439-4.540828j)
 (183.839844+0.000000j), (-99.470819-1.982987j), (-63.746419-12.234029j), (12.658755+0.435078j), (-42.916723-19.332648j), (-12.234605+15.087665j), (-63.746419+12.234029j), (49.101653-4.529538j), (-19.367366-18.654938j), (63.514113+27.976559j), (32.545874-10.731045j), (12.658755-0.435078j), (-26.174779-7.864836j), (-99.470819+1.982987j), (0.739932+3.773975j), (49.101653+4.529538j)
 (136.554688+0.000000j), (-88.788296-9.069457j), (-44.308513+4.388716j), (63.957095+3.288155j), (-38.003953+8.567567j), (10.783236-6.155512j), (-44.308513-4.388716j), (1.277186+10.060500j), (-2.169887+14.237873j), (20.445413-14.517073j), (-18.028601+0.534049j), (63.957095-3.288155j), (10.221971-6.555265j), (-88.788296+9.069457j), (0.249937+14.947392j), (1.277186-10.060500j)
 (91.992188+0.000000j), (-81.360540-4.824261j), (-35.144738-7.959728j), (34.473964-1.032590j), (-17.092353-30.184596j), (7.928611+28.872526j), (-35.144738+7.959728j), (27.028107-7.391451j), (-17.363968+0.218063j), (21.189166+18.508315j), (-29.101977-16.667883j), (34.473964+1.032590j), (55.445270-5.451847j), (-81.360540+4.824261j), (-11.665294-1.948525j), (27.028107+7.391451j)
 (145.398438+0.000000j), (-61.456701-1.745410j), (-60.505359-3.006165j), (-12.416151+15.380404j), (-33.191610-18.632322j), (3.482549+25.600182j), (-60.505359+3.006165j), (35.832812-16.518447j), (-13.898694+2.935521j), (60.656429+17.699242j), (22.597410+21.591594j), (-12.416151-15.380404j), (-24.687327-16.105713j), (-61.456701+1.745410j), (31.837717-5.601902j), (35.832812+16.518447j)
 (107.609375+0.000000j), (-75.095719+4.441359j), (-53.189194-12.490153j), (47.242654-8.777345j), (-0.237249-19.363689j), (4.617658+4.864783j), (-53.189194+12.490153j), (18.137962-8.827405j), (-28.540739+25.286374j), (6.548425+0.052044j), (-11.041735-19.227810j), (47.242654+8.777345j), (18.027425-11.272948j), (-75.095719-4.441359j), (11.364504+15.176040j), (18.137962+8.827405j)
 (120.542969+0.000000j), (-74.648384+5.499451j), (-65.391283-12.745602j), (15.235840-4.279006j), (7.940663-16.321875j), (-17.941312+6.354441j), (-65.391283+12.745602j), (57.353169+0.666209j), (-8.986442+5.656213j), (15.690845+6.336106j), (26.833534-37.001207j), (15.235840+4.279006j), (-1.822018+20.837778j), (-74.648384-5.499451j), (-11.430463+18.300797j), (57.353169-0.666209j)
 (156.207031+0.000000j), (-88.961364-0.170589j), (-51.574986-3.529713j), (38.170651+16.507996j), (-47.505405-16.382858j), (11.729451+32.380236j), (-51.574986+3.529713j), (5.898304-28.174802j), (-42.422299-18.384982j), (52.665822+10.224579j), (12.485663+7.816731j), (38.170651-16.507996j), (4.030826+31.434546j), (-88.961364+0.170589j), (15.010700-38.898768j), (5.898304+28.174802j)
 (135.445312+0.000000j), (-91.289758+2.095737j), (-52.625698-5.887817j), (12.651612-11.960848j), (-24.785521-26.488351j), (10.084861+5.066610j), (-52.625698+5.887817j), (42.378463+7.637381j), (-22.716102+18.221144j), (34.569056+6.508340j), (22.078503-37.153116j), (12.651612+11.960848j), (16.201250+12.522999j), (-91.289758-2.095737j), (-0.070078+18.512300j), (42.378463-7.637381j)
 (61.363281+0.000000j), (-50.691293-3.227849j), (-31.806092-1.783090j), (23.990344+6.610128j), (1.488082-9.036364j), (2.371119-1.168981j), (-31.806092+1.783090j), (24.183702+7.800825j), (-2.431106-11.538614j), (0.553213+15.386626j), (-9.210108-2.382649j), (23.990344-6.610128j), (27.921272+4.620429j), (-50.691293+3.227849j), (-8.078296+9.869900j), (24.183702-7.800825j)
 (138.164062+0.000000j), (-72.642867+27.391156j), (-49.414102-22.981233j), (-9.830847-20.571951j), (-33.195573-53.844973j), (8.675851+32.871542j), (-49.414102+22.981233j), (47.092777-1.764853j), (-0.331732+0.243810j), (23.905077+11.636430j), (33.270588-46.158941j), (-9.830847+20.571951j), (-5.573857+63.952698j), (-72.642867-27.391156j), (5.558631+5.098672j), (47.092777+1.764853j)
 (88.875000+0.000000j), (-62.137293-2.624490j), (-28.406935-9.366716j), (4.861914+0.998240j), (-23.769027-17.750468j), (-14.780381+14.921826j), (-28.406935+9.366716j), (33.370389-1.999473j), (-31.123438+0.056791j), (45.988369+8.012243j), (12.022536-14.902648j), (4.861914-0.998240j), (11.733626+4.657201j), (-62.137293+2.624490j), (-16.159647+2.524026j), (33.370389+1.999473j)
 (118.859375+0.000000j), (-77.222372+1.833350j), (-27.047899-10.195172j), (33.568321-0.924534j), (-40.289079-11.230985j), (-15.227248+8.819567j), (-27.047899+10.195172j), (13.443774-6.962800j), (-34.601082+4.511276j), (58.428327+8.595579j), (-0.170985-12.204384j), (33.568321+0.924534j), (10.816888-0.886702j), (-77.222372-1.833350j), (-19.717854-2.833431j), (13.443774+6.962800j)
 (101.687500+0.000000j), (-69.604138-6.487398j), (-50.606775-6.268340j), (39.127908-0.279632j), (1.997287-17.560865j), (-4.263538+0.586621j), (-50.606775+6.268340j), (24.792269+14.999985j), (-8.174271+18.481464j), (7.300948+14.461715j), (-6.502576-34.094908j), (39.127908+0.279632j), (12.318804-3.989933j), (-69.604138+6.487398j), (7.261969+27.219164j), (24.792269-14.999985j)
 (125.031250+0.000000j), (-79.362036-1.995084j), (-45.258073-9.313265j), (67.867554-14.722010j), (-34.767770-26.990229j), (17.560504+24.811444j), (-45.258073+9.313265j), (1.930702-29.702987j), (-2.395300+53.881493j), (25.274892-18.472408j), (-34.697331-15.611149j), (67.867554+14.722010j), (1.943445+1.332937j), (-79.362036+1.995084j), (10.181810-15.848248j), (1.930702+29.702987j)
 (97.542969+0.000000j), (-74.675772-1.195187j), (-46.229747-5.875567j), (32.670835+10.372388j), (0.369833-6.075363j), (-5.772510-13.552481j), (-46.229747+5.875567j), (31.824831+13.477568j), (-21.933173-13.049513j), (11.370808+21.314450j), (0.674532-5.839119j), (32.670835-10.372388j), (30.551695+4.194305j), (-74.675772+1.195187j), (-10.766685+21.511659j), (31.824831-13.477568j)
 (146.402344+0.000000j), (-99.995747+15.608931j), (-47.178954+14.547562j), (66.019595-23.618715j), (-37.093060+12.579035j), (19.280042-12.394464j), (-47.178954-14.547562j), (1.768960-7.640799j), (5.418364+14.668801j), (12.865230-20.029408j), (-23.648952-17.940350j), (66.019595+23.618715j), (22.798951+24.192793j), (-99.995747-15.608931j), (5.128335-13.230215j), (1.768960+7.640799j)
 (89.878906+0.000000j), (-70.240582-3.109090j), (-35.218880-3.913468j), (19.818900+8.673215j), (-14.044304-16.828442j), (-4.057606+1.919179j), (-35.218880+3.913468j), (32.289759+8.834364j), (-11.790923-5.320630j), (24.672942+16.903415j), (-8.880878+0.532884j), (19.818900-8.673215j), (30.487054+3.067145j), (-70.240582+3.109090j), (-10.519161+10.485470j), (32.289759-8.834364j)
 (129.078125+0.000000j), (-96.614365+2.911033j), (-31.995063+0.456184j), (24.696896-12.390099j), (-58.041686-8.922216j), (38.240541+4.729944j), (-31.995063-0.456184j), (26.432391-4.528666j), (-5.505373+37.751447j), (44.310297-13.151169j), (-16.894460-23.339939j), (24.696896+12.390099j), (29.866603+11.761246j), (-96.614365-2.911033j), (-7.857546-5.532139j), (26.432391+4.528666j)
 (59.230469+0.000000j), (-56.750960+5.903232j), (-21.876783+3.245637j), (20.156820-1.458452j), (-11.281537+1.214580j), (8.869687-5.098363j), (-21.876783-3.245637j), (23.337957+5.221897j), (-10.190955-7.301592j), (11.766852+3.348715j), (-17.813774-0.219724j), (20.156820+1.458452j), (49.959401+10.116040j), (-56.750960-5.903232j), (-24.636826+6.643386j), (23.337957-5.221897j)
 (107.734375+0.000000j), (-63.066958-2.881953j), (-29.268012+0.039174j), (25.513299+0.755829j), (-27.296701-8.520383j), (-12.335823+1.491385j), (-29.268012-0.039174j), (9.076358+11.026761j), (-24.441863-8.574058j), (43.197565+19.522902j), (11.793688-3.841183j), (25.513299-0.755829j), (-6.183989-6.798442j), (-63.066958+2.881953j), (3.048021+3.225589j), (9.076358-11.026761j)
 (177.453125+0.000000j), (-95.394561+4.448808j), (-72.577689+11.095341j), (69.284657+13.553871j), (-34.642240+52.872799j), (33.608838-34.061252j), (-72.577689-11.095341j), (8.521896+3.436051j), (17.125840-3.129849j), (-15.490940-26.046210j), (13.201016+4.435458j), (69.284657-13.553871j), (-16.628110+28.845690j), (-95.394561-4.448808j), (0.275328-11.417744j), (8.521896-3.436051j)
 (51.968750+0.000000j), (-33.905826+5.099415j), (-32.031268-0.246318j), (12.978590-1.763124j), (8.868402-4.245998j), (-3.091344-1.441060j), (-32.031268+0.246318j), (25.587818+0.806645j), (-2.602859+2.898544j), (-5.343573+4.910681j), (16.668838-7.641143j), (12.978590+1.763124j), (-2.929111+10.278228j), (-33.905826-5.099415j), (-5.892470-0.029225j), (25.587818-0.806645j)
 (71.156250+0.000000j), (-67.242729-1.275872j), (-29.328995+2.913212j), (38.338483-0.473904j), (-14.277178-1.930650j), (16.248740-0.623935j), (-29.328995-2.913212j), (17.595062+5.784268j), (-3.131968-8.267822j), (9.402168+5.222183j), (-42.197614+1.006587j), (38.338483+0.473904j), (56.526027-2.456896j), (-67.242729+1.275872j), (-6.169851+8.340220j), (17.595062-5.784268j)
 (100.882812+0.000000j), (-71.613921+4.173071j), (-60.215317+4.529753j), (49.555827+6.351652j), (9.663991+0.299353j), (13.389885-15.477496j), (-60.215317-4.529753j), (28.493784+12.973299j), (-2.487953-28.613144j), (-15.626575+27.102336j), (-7.424348-7.524914j), (49.555827-6.351652j), (20.066572+24.021153j), (-71.613921-4.173071j), (-0.525008+4.454336j), (28.493784-12.973299j)
 (83.707031+0.000000j), (-51.662685+7.962835j), (-40.289109-2.063669j), (4.789536+4.119794j), (2.078657-6.704281j), (3.184130-7.924449j), (-40.289109+2.063669j), (42.678298+5.329236j), (-5.061230+18.512043j), (1.918841-2.083487j), (23.283603-4.603397j), (4.789536-4.119794j), (-6.267426+17.427287j), (-51.662685-7.962835j), (-14.460728-0.680427j), (42.678298-5.329236j)
 (74.066406+0.000000j), (-61.002180-1.401038j), (-35.603431-5.552497j), (15.908618+8.401618j), (2.721624-16.387689j), (-5.973429+6.763391j), (-35.603431+5.552497j), (38.000801+4.170569j), (-7.191919-7.431266j), (5.299808+16.371662j), (5.769120-1.096144j), (15.908618-8.401618j), (32.210346+8.199907j), (-61.002180+1.401038j), (-23.486764+7.174579j), (38.000801-4.170569j)
 (51.906250+0.000000j), (-50.255944+5.290373j), (-22.780867-2.334100j), (27.351047+0.389234j), (-7.920359+0.437130j), (8.905206-2.240233j), (-22.780867+2.334100j), (17.117701-2.984185j), (-3.431387-2.399938j), (5.994634+1.219409j), (-30.060052-2.490369j), (27.351047-0.389234j), (45.563602+9.684015j), (-50.255944-5.290373j), (-11.249366-2.305839j), (17.117701+2.984185j)
 (114.843750+0.000000j), (-54.130270+6.871362j), (-57.144650-7.284062j), (0.144522+8.538127j), (-8.367204+0.748481j), (17.897132-13.445021j), (-57.144650+7.284062j), (39.667394+0.311259j), (0.598139+21.713761j), (13.966841-4.730316j), (30.723199-13.041222j), (0.144522-8.538127j), (-27.302447+34.744841j), (-54.130270-6.871362j), (11.616246-25.033550j), (39.667394-0.311259j)
 (108.730469+0.000000j), (-70.847924+2.278198j), (-39.274212-2.204183j), (26.018682-1.392509j), (-26.576634-10.649067j), (29.774343+21.261620j), (-39.274212+2.204183j), (9.456171-19.642331j), (-25.710630-10.801258j), (25.479823+3.552064j), (15.992704+15.187578j), (26.018682+1.392509j), (-1.627170-4.809872j), (-70.847924-2.278198j), (24.552540-24.679633j), (9.456171+19.642331j)
 (113.335938+0.000000j), (-71.046055+4.030171j), (-33.955830+8.677758j), (33.512358-9.893190j), (-38.400162+33.604277j), (23.907674-13.098074j), (-33.955830-8.677758j), (3.971135-6.986439j), (6.736079+28.112087j), (16.971381-37.037482j), (-6.832164-15.044611j), (33.512358+9.893190j), (-1.641509+14.295469j), (-71.046055-4.030171j), (19.915200-14.495609j), (3.971135+6.986439j)
 (97.875000+0.000000j), (-71.476706+1.725839j), (-34.449098+0.599122j), (19.437831+0.710794j), (-30.273812+0.361264j), (30.319094+3.212373j), (-34.449098-0.599122j), (16.731695-6.328755j), (-30.151404-5.530611j), (31.187525+0.415339j), (13.000284+12.869375j), (19.437831-0.710794j), (15.681066-4.734626j), (-71.476706-1.725839j), (16.239579-9.899451j), (16.731695+6.328755j)
 (61.078125+0.000000j), (-38.522917-2.782402j), (-30.270705-1.042550j), (28.292843+5.350452j), (-20.392315+10.061401j), (12.753153-3.620802j), (-30.270705+1.042550j), (10.930583+2.267571j), (-11.170868+1.197071j), (10.735671-1.866650j), (-1.066699-0.994448j), (28.292843-5.350452j), (7.787933+0.075277j), (-38.522917+2.782402j), (-8.688591-1.125174j), (10.930583-2.267571j)
 (128.019531+0.000000j), (-73.327607+4.174273j), (-57.472487-2.716031j), (73.332034-3.304182j), (-25.167194-3.351150j), (18.067064-2.901889j), (-57.472487+2.716031j), (-4.101546+1.051909j), (-15.054172-11.773285j), (13.239326+5.790210j), (-16.493690+9.388567j), (73.332034+3.304182j), (-11.667887-13.215486j), (-73.327607-4.174273j), (21.935384+11.531410j), (-4.101546-1.051909j)
 (87.906250+0.000000j), (-77.220204+0.582903j), (-43.266454-2.774460j), (25.585283+3.615326j), (1.120780-14.215193j), (-4.793268+8.825800j), (-43.266454+2.774460j), (45.886337+1.022312j), (-16.238342-11.374119j), (7.980839+15.303838j), (-1.172853-0.785366j), (25.585283-3.615326j), (50.462386+4.723871j), (-77.220204-0.582903j), (-33.481252+3.376694j), (45.886337-1.022312j)
 (72.156250+0.000000j), (-63.420184+3.699914j), (-35.142419-7.977401j), (32.092678+4.102717j), (2.311826-20.113441j), (-1.880748+9.270381j), (-35.142419+7.977401j), (26.639213-3.922856j), (-2.785191-16.133679j), (-1.009053+23.037437j), (-18.051129-6.195682j), (32.092678-4.102717j), (41.965190+6.294949j), (-63.420184-3.699914j), (-12.324603+4.284898j), (26.639213+3.922856j)
